City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vila Velha,BR,-20.3297,-40.2925,71.94,82,0,4.0,clear sky
80,Salalah,OM,17.0151,54.0924,90.18,53,12,11.95,few clouds
81,Lazaro Cardenas,MX,17.9583,-102.2,74.48,68,0,3.2,clear sky
82,Hampden,US,42.1668,-72.5829,67.41,71,75,1.01,broken clouds
83,Luderitz,NA,-26.6481,15.1594,64.83,40,0,5.48,clear sky
84,Chokurdakh,RU,70.6333,147.9167,29.3,92,90,1.05,overcast clouds
85,Kokopo,PG,-4.352,152.2633,81.63,83,66,7.76,light rain
86,Cabanas,CU,22.9758,-82.9219,72.07,74,100,13.58,light rain
87,High Level,CA,58.5169,-117.136,57.31,41,90,10.02,overcast clouds
88,Jamestown,US,42.097,-79.2353,67.84,80,1,1.01,clear sky
89,Iqaluit,CA,63.7506,-68.5145,20.93,73,90,8.01,overcast clouds
90,Longyearbyen,SJ,78.2186,15.6401,24.64,63,75,3.44,broken clouds
91,Maieru,RO,47.4,24.75,61.88,69,100,4.61,overcast clouds
92,Tela,HN,15.7833,-87.45,80.08,92,98,4.97,overcast clouds
93,Izhevskoye,RU,54.5567,40.8703,62.19,56,70,5.84,broken clouds
94,Laguna,US,38.421,-121.4238,59.29,73,1,7.25,clear sky
95,Gamba,GA,-2.65,10.0,77.74,88,100,2.44,overcast clouds
96,Yomou,GN,7.5603,-9.2653,71.53,98,100,0.92,overcast clouds
97,Narrabri,AU,-30.3167,149.7833,69.89,43,10,6.91,clear sky
98,Ribeira Grande,PT,38.5167,-28.7,54.0,71,20,3.44,few clouds
99,Aklavik,CA,68.2191,-135.0107,56.23,60,100,13.22,overcast clouds
100,Kaitangata,NZ,-46.2817,169.8464,50.94,79,0,4.18,clear sky
101,Bethel,US,41.3712,-73.414,63.09,77,87,0.89,overcast clouds
102,Nouadhibou,MR,20.931,-17.0347,65.14,95,0,11.39,clear sky
103,Timra,SE,62.487,17.3257,46.08,76,90,4.61,overcast clouds
104,Aksay,RU,47.26,39.87,68.22,76,100,9.95,overcast clouds
105,Ponta Delgada,PT,37.7333,-25.6667,57.92,62,20,14.97,few clouds
106,Batemans Bay,AU,-35.7167,150.1833,61.92,87,0,2.44,clear sky
107,Guerrero Negro,MX,27.9769,-114.0611,58.77,71,0,19.91,clear sky
108,Mehamn,NO,71.0357,27.8492,34.56,66,100,23.13,overcast clouds
109,Souillac,MU,-20.5167,57.5167,76.35,60,40,18.72,scattered clouds
110,Hilo,US,19.7297,-155.09,70.79,91,90,5.75,light rain
111,Troitsko-Pechorsk,RU,62.7084,56.1964,69.19,43,100,13.91,overcast clouds
112,Andenes,NO,69.3143,16.1194,42.08,60,75,28.77,broken clouds
113,Barcelos,PT,41.5388,-8.6151,58.68,76,100,4.99,overcast clouds
114,Manokwari,ID,-0.8667,134.0833,82.44,75,69,4.9,moderate rain
115,Reinosa,ES,42.9996,-4.138,43.47,88,100,1.43,overcast clouds
116,Da Nang,VN,16.0678,108.2208,95.05,52,20,9.22,few clouds
117,Saldanha,ZA,-33.0117,17.9442,44.65,65,0,6.22,clear sky
118,Lerwick,GB,60.1545,-1.1494,44.6,67,100,16.69,overcast clouds
119,Acapulco,MX,16.8634,-99.8901,79.83,55,90,3.85,overcast clouds
120,Pathein,MM,16.7833,94.7333,94.28,47,97,8.59,overcast clouds
121,Itaituba,BR,-4.2761,-55.9836,72.32,99,66,1.79,broken clouds
122,Cape Coast,GH,5.1053,-1.2466,78.8,85,100,5.84,overcast clouds
123,Buchanan,LR,5.8808,-10.0467,77.79,88,95,2.91,overcast clouds
124,Khatanga,RU,71.9667,102.5,31.87,96,66,2.59,broken clouds
125,Kloulklubed,PW,7.0419,134.2556,82.06,75,100,4.03,overcast clouds
126,Shahr-E Babak,IR,30.1165,55.1186,81.99,9,20,3.49,few clouds
127,Cabra,ES,37.4725,-4.4421,69.91,57,87,1.36,overcast clouds
128,Punta Alta,AR,-38.8759,-62.0736,52.41,91,100,6.44,overcast clouds
129,Morro Bay,US,35.3658,-120.8499,52.77,89,7,4.56,clear sky
130,Chuy,UY,-33.6971,-53.4616,60.13,92,100,22.03,overcast clouds
131,Oxapampa,PE,-10.5775,-75.4017,58.21,97,79,2.75,broken clouds
132,Hamilton,US,39.1834,-84.5333,67.39,90,1,1.45,clear sky
133,Talnakh,RU,69.4865,88.3972,34.03,100,100,11.52,light rain
134,East London,ZA,-33.0153,27.9116,58.14,51,0,9.22,clear sky
135,Nanzhang,CN,31.7765,111.8386,78.58,59,85,6.71,light rain
136,Prattville,US,32.464,-86.4597,67.82,88,75,0.0,broken clouds
137,Port Antonio,JM,18.18,-76.4612,80.51,84,100,8.39,overcast clouds
138,Tautira,PF,-17.7333,-149.15,78.82,75,21,10.67,few clouds
139,Santa Rosa,PH,14.3122,121.1114,92.08,59,96,4.81,overcast clouds
140,Qaanaaq,GL,77.484,-69.3632,20.26,66,28,8.95,scattered clouds
141,Hualmay,PE,-11.0964,-77.6139,62.67,88,53,4.25,broken clouds
142,Saint-Philippe,RE,-21.3585,55.7679,80.15,67,61,15.64,broken clouds
143,Hermanus,ZA,-34.4187,19.2345,52.9,67,0,7.25,clear sky
144,Maumere,ID,-8.6199,122.2111,84.29,67,18,1.12,few clouds
145,Vestmannaeyjar,IS,63.4427,-20.2734,41.79,72,36,9.35,scattered clouds
146,Hedaru,TZ,-4.5,37.9,73.49,69,83,7.47,broken clouds
147,Kandalaksha,RU,67.162,32.4123,40.14,95,100,9.26,overcast clouds
148,Yulara,AU,-25.2406,130.9889,78.64,18,0,10.36,clear sky
149,Mackay,AU,-21.15,149.2,73.69,68,75,16.11,broken clouds
150,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,62,20,17.85,few clouds
151,Maracaju,BR,-21.6144,-55.1683,70.3,80,5,7.76,clear sky
152,Vazhiny,RU,60.9644,34.0222,51.75,75,100,13.13,overcast clouds
153,Kirakira,SB,-10.4544,161.9205,79.92,86,48,8.52,light rain
154,Kavaratti,IN,10.5669,72.642,82.54,76,100,5.73,overcast clouds
155,Kushima,JP,31.4583,131.2333,69.84,80,100,8.14,overcast clouds
156,Apatou,GF,5.155,-54.3472,72.52,100,100,2.13,overcast clouds
157,Sardinia,GR,38.8833,21.2,67.21,52,4,2.62,clear sky
158,Karratha,AU,-20.7377,116.8463,84.38,24,0,8.93,clear sky
159,Mar Del Plata,AR,-38.0023,-57.5575,61.09,41,90,14.0,overcast clouds
160,Bluff,NZ,-46.6,168.3333,49.8,81,62,14.41,broken clouds
161,Lebu,CL,-37.6167,-73.65,49.66,87,40,1.74,scattered clouds
162,Viedma,AR,-40.8135,-62.9967,50.83,93,100,5.61,overcast clouds
163,Tammisaari,FI,59.9736,23.4339,54.05,73,22,12.66,few clouds
164,Olafsvik,IS,64.8945,-23.7142,37.44,70,8,13.76,clear sky
165,Kerema,PG,-7.9631,145.7785,81.14,80,47,5.44,light rain
166,Dingle,PH,10.9995,122.6711,86.88,64,49,1.74,scattered clouds
167,Bathurst,AU,-33.4166,149.5806,56.97,52,2,0.36,clear sky
168,Ngunguru,NZ,-35.6167,174.5,57.16,83,100,24.79,overcast clouds
169,Mogadishu,SO,2.0371,45.3438,84.07,65,40,13.8,scattered clouds
170,Kodinsk,RU,58.6881,99.1844,56.28,29,100,4.52,overcast clouds
171,Elizabeth City,US,36.2946,-76.2511,59.02,95,90,0.0,overcast clouds
172,Baffa,PK,34.4378,73.2194,84.54,27,10,3.09,clear sky
173,Katsuura,JP,35.1333,140.3,69.91,82,100,22.88,heavy intensity rain
174,Port Elizabeth,ZA,-33.918,25.5701,52.09,66,0,9.22,clear sky
175,Bredasdorp,ZA,-34.5322,20.0403,47.28,71,0,3.22,clear sky
176,Lepe,ES,37.2548,-7.2043,60.01,52,100,11.01,overcast clouds
177,Northam,GB,51.0333,-4.2167,50.02,90,99,15.41,light rain
178,Araouane,ML,18.9048,-3.5265,90.72,25,75,12.5,broken clouds
179,Ormara,PK,25.2088,64.6357,85.01,69,0,10.54,clear sky
180,Muisne,EC,0.6,-80.0333,75.61,90,100,8.95,moderate rain
181,Ponta Do Sol,PT,32.6667,-17.1,66.83,79,43,7.78,scattered clouds
